id;nomClient;adresseClient;idEtat;id2;tempsInsc;somme1;somme2
691;Nirabi Auto Service;872 Virginia Rd.;3;1;10/09/2006 15:53;14308;1520.2004
692;Cotton Thumb Ltd.;135 Lakewood place;14;7;17/07/1993 10:07;30226;25740.8372
693;Doerner's Awnings and Canopies;1715 Chicago Ave.;50;20;06/02/1992 18:13;29550;54577.8206
694;janice Mann Accounting Service;1220 Heather Lane;38;14;13/05/2005 07:55;89728;78720.8540
695;Quad City Cleaning;1920 Sunnyside Ave.;3;12;30/10/2000 02:53;84890;21273.2046
696;Terrinni & Son Auto and Truck;2479 Woodridge Drive;46;32;06/08/2007 03:28;5552.;8228.6272
697;Futoons Cartoons Emporium;456 Groverland Ave.;5;50;18/09/2003 07:42;39595;60338.7401
698;Car Suite Cleaners;969 Saxony Drive;37;27;01/01/1993 03:47;99816;70100.7328
699;Air India;334 Lynn Terrace;18;42;09/04/1994 15:00;55980;97768.9676
700;Garfield Appliance Service;175 beech St.;5;3;25/05/2000 18:07;8085.;45050.6591
701;Ebert Music Center;839 Burton Ave;48;14;27/10/1974 10:00;14839;74616.4016
702;PGS Associates;1101 Deerfield Place;5;50;23/02/2006 09:07;76640;51330.9672
703;Hi-Land Art & Frame;614 green bay Rd.;3;38;20/03/1980 11:33;37460;37362.2464
704;American Deli Workers Union;1287 Glencoe Ave.;18;3;21/10/2005 14:07;37764;67390.3734
705;Truck-X Muffler Repair;1077 Court Ave.;9;46;15/12/1990 11:20;51976;3752.7082
706;North West Gas Co.;872 Virginia Rd.;7;5;02/07/2004 08:07;55680;2170.1937
707;Schmidt Denists;2505 Allison ct.;42;37;12/11/1971 13:20;38209;31150.1128
708;Dapper's Antiques;812 North Ave.;24;18;18/12/2004 14:15;60604;7328.3764
709;Pete's Auto Repair;1715 Chicago Ave.;28;5;08/06/2002 13:27;97800;77089.8116
710;Cosmo Skin Care Center;445 Park Ave.;41;48;01/10/2001 07:02;79940;44800.7076
711;Facelift Kitchen and Bath;807 Old Trail Rd.;8;5;15/09/1999 13:53;53904;85104.1220
712;Esmarda Chemical Manufacturers;241 Callan Rd.;43;3;15/05/2005 15:28;52872;57113.6039
713;Got It All Electronics Supply;886 Yale Lane;29;18;02/03/1993 19:20;83981;45976.1885
714;Resnick DDS;1155 Ridgewood Drive;20;9;09/07/2000 00:47;96400;28684.9610
715;MedicServe Medical Supply;844 Spruce St.;7;7;19/08/1971 06:22;62240;58504.3200
716;Lee Stairworks and Carpentry,;4763 Blackhawk Rd.;41;42;13/06/2000 13:40;48891;88630.8950
717;Acme Chemical Supply;854 Woodbine;7;24;24/12/1990 08:28;32850;56503.2172
718;Glenwood Credit Union;3901 Chester Ave. Apt. 3C;12;28;01/03/2002 16:27;99839;83518.0762
719;Myles Building Consultants;445 Park Ave.;1;41;17/08/1993 23:42;16249;17714.4191
720;Chicagoland Cleaners;3160 Summit Ave.;46;8;27/08/1983 03:40;42050;58692.2791
721;Garfield Appliance Service;225 Jeffrys Place;18;43;05/08/1983 20:33;29210;2080.1715
722;Highland Woods City Hall;511 Hill;42;29;19/03/1971 10:42;71341;50750.0260
723;Ampro Office Team Ltd.;218 Oakridge Ave.;17;20;20/03/1992 02:53;41360;87468.7695
724;Glassman & Stone;3478 Bryn Mawr St.;45;7;11/11/2002 18:27;96450;57340.4064
725;Air Guatamala;669 Kikaid;47;41;23/02/1974 04:55;70558;21832.3564
726;Got It All Electronics Supply;2644 Princeton Ln.;44;7;25/05/1975 15:27;75452;40425.0576
727;Brand Y Creative Services;581 Hill St. Apt. 234;29;12;08/12/2000 18:55;65680;99566.1930
728;Got It All Electronics Supply;899 Harvard Ct;37;1;06/11/2000 09:08;86744;69204.9316
729;Childress Child Day Care;899 Harvard Ct;19;46;26/01/1977 11:48;17750;9742.3060
730;Crossroads Construction, Inc.;433 Burton Ave.;24;18;04/08/2003 04:22;40904;79370.4832
731;Lennox Air Pollution Control;629 Kincaid Ave.;44;42;04/10/1986 17:28;23196;33384.7828
732;Percy Photography;628 Orwenstensia;21;17;08/01/2006 09:35;97600;81686.4420
733;Esmarda Chemical Manufacturers;629 Kincaid Ave.;37;45;09/06/1978 18:07;19686;79061.5443
734;Elm Place Business Supplies;1547 Vine;38;47;17/03/1980 16:53;32947;1224.0152
735;Gordon & Son Brockerage Ltd.;1915 Lewis Ln.  Apt 13;37;44;31/08/2000 09:15;37368;29265.2878
736;Dean Barnett Furniture Repair;12 Craven Way;34;29;21/11/2003 01:35;83966;53017.0060
737;Froggy's Gourmet Catering;4467 Sheridan Rd.;25;37;22/01/2002 22:40;2280.;58550.5993
738;Meonits & Mogogni Inc.;43078 Kennedy Dr.;47;19;19/09/1999 01:13;87038;64640.3767
739;Auto Interior Carpeting Compan;224  Highwood Ave.;10;24;10/06/1975 11:15;90339;45848.7618
740;Gordon & Son Brockerage Ltd.;654 Walnut Rd.;44;44;09/11/2001 13:33;11660;30594.0799
741;Hibbard Road Suppliers;45 South Deer Creek Drive;35;21;21/12/1982 06:27;1345.;96159.0564
742;Keyth Contracting and Repair;1658 Second St.;13;37;08/02/2001 06:13;63077;26862.1970
743;Salt & Pepper Catering Service;201-C Frontage Rd.;33;38;16/08/2006 07:15;47750;92324.5532
744;Metro Appliance Service;456 Groverland Ave.;17;37;01/01/1970 07:35;60164;73264.3328
745;Air India;334 Lynn Terrace;10;34;23/09/2001 13:40;2176.;2331.2768
746;Trapezoid Studios;511 Maple Ave.  Apt. 1B;38;25;28/09/2002 09:00;5968.;53604.4683
747;Kapp Camera and Video;218 Oakridge Ave.;23;47;07/05/2004 04:20;78420;35656.4646
748;Innman Paint and Glass;574 Chicago Ave.;16;10;11/12/1978 04:53;52510;48240.8300
749;Hoffman Printing Center;21 Lakeview Terrace #2312;19;44;11/06/2000 06:35;29851;86342.4116
750;Bill's Dive Shop;201-C Frontage Rd.;9;35;08/01/1990 12:00;96258;48108.3408
751;Smith Communications Inc.;1535 Knollwood Drive;32;13;14/09/2001 21:40;56690;37750.4000
752;Crosstracks Car Wash;632 Florence Dr.;8;33;10/02/2004 08:00;480.2;76909.4400
753;Hoffman Printing Center;2267 Anderson Lane;32;17;13/03/2004 04:27;37446;31826.3113
754;Hoffman Printing Center;45 South Deer Creek Drive;7;10;20/03/2004 10:42;54000;96640.1788
755;Pivot Point College;2922 Twin Oaks Drive;18;38;08/05/2000 11:40;96624;73885.6602
756;Green Shoes Corp.;1875 Roger Williams Ave.;10;23;16/05/2001 01:27;6724.;35795.7326
757;Highland Heights Gift Shop;2479 Woodridge Drive;26;16;13/04/2002 04:08;57049;61528.3450
758;janice Mann Accounting Service;1245 Eastwood;35;19;30/12/2000 15:47;44776;38624.5440
759;Bee Line Publishing;2870 Skokie Rd.;3;9;29/06/1993 14:20;78515;38901.5668
760;Highland Lanes;614 green bay Rd.;31;32;15/09/1971 17:27;37220;87143.6320
761;Foy Aviation;210 Cresant Rd.;46;8;15/11/2005 08:13;29308;45308.9179
762;Smith & Wesson Militia;3478 Bryn Mawr St.;37;32;10/08/2006 05:53;49805;65638.1729
763;Nina's Snow Plowing;1450 Harding Ave.;11;7;02/02/2000 11:33;85928;34120.4986
764;K L Consulting;1 Twin Oaks Place;34;18;11/03/1996 06:55;44200;93018.3878
765;Froggy's Gourmet Catering;3059 Priscilla Court;37;10;07/02/1983 21:07;83702;31103.3340
766;Kermit the Pet Shop;2112 Ravine Drive;30;26;01/10/1971 02:08;44032;56143.4328
767;Vecot Inc.;600 Central Ave.;34;35;14/05/1987 22:48;44072;55125.7639
768;Schnitzer Denist College;726 White Oaks Ave.;9;3;06/03/2003 19:22;74237;36192.0053
769;Metro Appliance Service;669 Kikaid;1;31;21/11/2004 23:22;20116;35625.4616
770;Michael Montgomery Hair Saloon;433 Burton Ave.;29;46;09/03/1971 00:42;17615;19776.4271
771;Mail Boxes Et. Al.;456 Groverland Ave.;14;37;04/11/2001 18:53;64740;73966.2392
772;Metro Appliance Service;654 Walnut Rd.;46;11;03/07/1982 07:55;67120;94895.6698
773;Tub's Furniture Store;115 Pleasent Ave.;18;34;23/07/1990 03:27;29414;34208.8168
774;Kermit the Pet Shop;1077 Court Ave.;14;37;09/09/1982 07:13;38670;60784.8950
775;Keyth Contracting and Repair;1777 balsamic Ave.;43;30;04/11/2006 02:55;60773;76654.7472
776;Gourmet the Frog;1777 balsamic Ave.;9;34;13/07/1970 15:28;39202;80130.7519
777;Cotton Thumb Ltd.;1752 Clinton Ave.;26;9;24/12/1994 00:02;56075;89728.3836
778;Pasifico Inc.;1535 Knollwood Drive;2;1;09/03/1982 13:08;26576;39375.6944
779;Futoons Cartoons Emporium;1912 Old Briar Lane #2;16;29;11/12/2002 00:42;94604;8483.1012
780;Vecot Inc.;1715 Chicago Ave.;25;14;04/06/1971 17:13;57834;16119.0450
781;Morgan Construction Co;969 Saxony Drive;21;46;05/12/2001 01:35;48281;63360.7394
782;Air Mexico;1704 Ridgelee Rd;15;18;12/05/1977 16:47;56070;68062.2620
783;Hibbard Road Suppliers;2267 Anderson Lane;38;14;21/02/1998 22:27;57832;35899.3505
784;Chicagoland Cleaners;1337 Cavell Ave.;18;43;11/02/1970 04:53;56232;58634.8975
785;Cradle the Call;1270 Linden Ave.;10;9;20/09/1980 20:48;93201;88072.0487
786;Moveit Motercycle Service;2220 Grant Blvd.;3;26;17/03/1998 02:00;47567;29273.5148
787;Highland Lanes;865 Old Tall Tree Lane;5;2;18/10/2005 14:33;89737;60880.0563
788;DBN Bank;1 Twin Oaks Place;25;16;28/12/2000 03:33;44470;83104.7333
789;Futoons Cartoons Emporium;1486 Old Deerfield Rd.;5;25;07/05/1990 07:00;53428;2055.3848
790;Crosstracks Car Wash;1185 County line Rd.;20;21;29/09/1982 16:07;15327;81015.3611
791;Chicagoland Cleaners;1860 Parkside Ln.;17;15;13/06/2002 23:15;8936.;19300.5672
792;Myles Building Consultants;3100 Trailer Way;28;38;27/10/2004 05:40;8204.;22628.0070
793;Maintence Services of Maine;1185 County line Rd.;30;18;06/08/1974 23:27;27467;84080.1240
794;Cutter Lawn Mower Repair;1019 Deerfield Rd.;28;10;21/07/2006 01:27;60775;10856.7920
795;Cradle the Call;139 Bay Colony Dr.;47;3;26/09/1972 13:53;55718;14549.0780
796;Energy Source Diet Centers;465 Stratford Rd.;40;5;10/05/1996 12:22;70000;50812.3146
797;Froggy's Gourmet Catering;1770 first St.;48;25;13/01/2006 20:53;71783;74674.5070
798;Innman Paint and Glass;456 Groverland Ave.;23;5;15/02/1970 10:55;95404;47020.5332
799;K L Consulting;839 Burton Ave;11;20;18/05/1983 11:00;68313;61522.5426
800;Arthur M. Feildberg Galleries;4467 Sheridan Rd.;44;17;12/05/1971 02:33;54748;41576.0080
801;Nyman Interior Design;2644 Princeton Ln.;41;28;10/02/1985 16:13;74070;52994.2459
802;Doll House Rock;899 Harvard Ct;20;30;30/12/2004 04:02;79394;45970.7710
803;Lambert & Locke Legal Services;673 Calais Drive;16;28;30/07/1996 12:48;23291;48032.1795
804;Kosmo Consulting;35 Glenlake Dr.;36;47;21/03/1970 09:33;27772;36696.4864
805;Myers Chocolates and Confectio;1658 Second St.;17;40;10/11/2001 18:15;2728.;49760.4320
806;Terrinni & Son Auto and Truck;1658 Second St.;47;48;20/08/1971 02:33;64818;80314.9700
807;Elle Hypnosis and Therapy Cent;1954 First St.;38;23;27/12/1985 02:53;41532;16660.8835
808;Pasifico Inc.;43078 Kennedy Dr.;9;11;22/05/1971 03:28;79210;54052.9532
809;Griffith Paving and Sealcoatin;368 Woodland Rd.;27;44;19/08/2001 10:20;74357;40662.0900
810;American Apartments;2224 Sherman Rd.;43;41;25/06/1978 13:55;29365;11964.1926
811;Glenn Oaks Office Supplies;115 Judson Rd.;4;20;23/07/1993 21:40;10260;43720.7191
812;Dean Grant Buick and Crysler;812 North Ave.;24;16;03/02/2001 22:42;95550;44771.2292
813;Glassman & Stone;4763 Blackhawk Rd.;34;36;15/11/1982 16:55;91110;19780.2040
814;Kapp Camera and Video;844 Spruce St.;20;17;27/03/1993 10:15;13059;79792.0030
815;Dapper's Antiques;45 South Deer Creek Drive;46;47;29/03/2000 17:33;26580;74533.3360
816;Smith Communications Inc.;310 Walker Ave.;26;38;13/09/2006 11:00;66166;22100.3228
817;Acme Chemical Supply;1547 Knolwood Rd.;18;9;28/07/1990 02:08;61488;13440.3296
818;Highland Woods City Hall;917 Fairview Ave.  Apt. 982;23;27;09/04/2006 13:27;34526;30722.3924
819;Mail Boxes Et. Al.;1155 Ridgewood Drive;3;43;15/10/2004 01:27;45360;9980.1225
820;Toggle & Myerson Ltd;3148 cottonwood Ct.;32;4;07/01/2003 22:28;49757;81720.7012
821;Quad City Cleaning;5518 Madison St.;26;24;11/10/1987 06:08;78582;2180.3808
822;Funnyface Amusement Games;22 Clay rd.;23;34;11/12/1971 19:22;35277;84416.2705
823;Nel Video Productions;839 Burton Ave;8;20;07/02/1990 14:13;39904;1422.7560
824;Woodworks Co.;628 Orwenstensia;33;46;26/04/2003 15:28;14461;51475.3556
825;janice Mann Accounting Service;629 Kincaid Ave.;50;26;10/09/1983 01:00;18008;80607.9719
826;Glassman & Stone;3062 Lindenwood Ln.;17;18;05/05/1990 18:08;79230;16068.9568
827;Highland Lanes;266 Green Bay Rd.;27;23;05/04/1978 12:28;51428;21106.1242
828;Dependable Plumbing and Sewer;669 Kikaid;21;3;15/06/1992 17:55;15272;44135.3112
829;Pete's Auto Repair;1287 Glencoe Ave.;40;32;10/09/2000 03:00;7688.;86180.6413
830;Deer Lake Inn;367Bluebird Terr.;40;26;27/03/1971 05:33;20164;81980.0080
831;Sigman and Freud Psychiatry;54 Lakeview Terrace;19;23;20/11/2003 22:28;69962;73805.0744
832;Hibbard Road Suppliers;12 Fort Sheriden Ave.;25;8;29/06/1987 02:08;34228;37770.9216
833;Woodworks Co.;3150 Skokie Valley Rd.;48;33;11/10/2000 17:40;99574;63570.8420
834;Cradle the Call;1714 Clifton Rd.;33;50;27/08/1982 13:40;55700;85730.2480
835;Resnick DDS;433 Burton Ave.;10;17;30/12/2000 18:42;24937;7270.9238
836;Masterlands Cleaning;367Bluebird Terr.;24;27;05/07/2000 16:08;88996;48270.8360
837;Truck-X Muffler Repair;2112 Ravine Drive;12;21;13/05/1994 12:08;28636;76035.8694
838;BBQ Smith's Tex Mex;3487 Green Bay Rd.;32;40;01/03/1990 21:35;8384.;31265.8710
839;Griffith Paving and Sealcoatin;2024 St.Johns Ave.;46;40;06/02/1986 07:47;58029;61320.2912
840;Flinn Mosquito and Pest Contro;1337 Cavell Ave.;6;19;18/05/1985 02:22;90728;22510.3284
841;Terrinni & Son Auto and Truck;115 Judson Rd.;33;25;26/10/1980 09:20;97800;23390.4312
842;Myles Building Consultants;632 Florence Dr.;10;48;03/12/1987 03:20;99240;794.2875
843;Loyal Order of Buffalo;844 Spruce St.;10;33;13/01/2005 18:53;94013;40800.6390
844;Libra & Sons;788 Tennyson Ave.;32;10;05/07/1989 01:00;82696;30336.4365
845;Salt & Pepper Catering Service;456 Groverland Ave.;48;24;09/05/2000 06:47;19637;69868.6880
846;Camp Oconomowoc;965 Marion Place Apt. 65C;39;12;28/10/1974 21:22;15536;48142.2746
847;Jay's Cabinet Company;632 Roger Williams;40;32;03/11/2000 02:28;83552;8760.9365
848;Mergenthaler Inc.;1482 Concorde Circle;19;46;26/04/2002 08:35;24904;87553.7666
849;Acturial Enterprises Ltd.;512 Hill;24;6;26/01/1980 09:35;58690;71394.1730
850;Highland Lanes;1287 Glencoe Ave.;43;33;29/04/1972 01:47;6918.;66432.8533
851;Vecot Inc.;1077 Court Ave.;43;10;15/09/2005 17:00;35625;65624.5220
852;Percy Photography;231 Sheriden Rd.;44;10;16/05/1972 22:33;92741;46384.3320
853;Gordon & Son Brockerage Ltd.;5518 Madison St.;32;32;19/03/2003 18:53;22975;19059.6867
854;Glenwood Credit Union;218 Oakridge Ave.;36;48;19/08/1998 05:13;56368;20000.9471
855;Griffith Paving and Sealcoatin;1245 Eastwood;42;39;24/08/2003 05:40;64931;45387.7952
856;P K M Packaging Supply;12 Craven Way;30;40;22/01/2007 21:07;32476;54091.4128
857;Trapezoid Studios;1270 Linden Ave.;34;19;26/09/1990 06:35;39378;13420.0488
858;Froggy's Gourmet Catering;1831 Beverly Place #9D;4;24;26/08/1989 03:00;91144;71552.3152
859;Dependable Plumbing and Sewer;1550 Ridge Rd.;25;43;29/09/1987 16:22;46727;42789.6304
860;Lickmen Restoration;1235 Easton Rd.;40;43;15/07/2006 06:33;86162;40432.9750
861;Acturial Enterprises Ltd.;3148 cottonwood Ct.;18;44;20/05/2002 05:02;89872;78996.9145
862;Rythmics Ltd.;857 Woodbine Rd;30;32;30/12/1972 10:40;49362;19374.0183
863;Acturial Enterprises Ltd.;1482 Concorde Circle;48;36;03/12/1983 19:22;94659;72430.9770
864;Crosstracks Car Wash;218 Oakridge Ave.;39;42;08/08/1972 14:08;20175;61270.7205
865;Meonits & Mogogni Inc.;616 Cobblestone Cir.;17;30;13/05/1993 22:08;36241;41287.2720
866;Foy Aviation;2220 Grant Blvd.;50;34;30/06/1993 18:07;8957.;72744.2096
867;Ebert Music Center;12 Broadview Lane;29;4;09/05/1989 15:28;18124;45494.7462
868;janice Mann Accounting Service;1660 Park Ave.;9;25;01/12/1994 16:40;91239;55789.0512
869;Johnson, Erico & Co CPA's;2922 Twin Oaks Drive;40;40;31/03/1997 09:20;88764;19483.7911
870;Corbins, Rodriguez, & Savocchi;115 Pleasent Ave.;18;18;12/05/2002 11:40;37910;75681.7031
871;Nina's Snow Plowing;3385 University Ave.;20;30;02/09/2000 14:07;36777;98360.1370
872;Darcy Frame and Matting Servic;1101 Deerfield Place;47;48;21/03/1970 00:28;7200.;95831.0316
873;Marks, Marks, and Kaplan Ltd.;1949 Cloverdale Rd.;9;39;18/09/1982 02:20;68262;73070.9657
874;Air India;511 Hill;38;17;18/11/2001 20:42;80920;34448.4657
875;Nitelites Party Rental;1660 Park Ave.;34;50;28/08/2004 08:48;77860;44814.9488
876;Dean Barnett Furniture Repair;616 Cobblestone Cir.;9;29;05/03/2003 21:33;24426;70844.0568
877;Air France;1019 Deerfield Rd.;1;9;10/08/1983 22:47;47569;2340.9704
878;Metro Appliance Service;929 Brittany Ave.;16;40;26/04/2004 11:35;95055;7488.4836
879;Got It All Electronics Supply;2870 Skokie Rd.;13;18;16/04/1987 09:27;50120;58100.2676
880;Nitelites Party Rental;2505 Allison ct.;23;20;09/08/2004 20:22;49690;69584.9560
881;Glenn Oaks Office Supplies;965 Marion Place Apt. 65C;37;47;25/06/1998 19:40;68752;50006.8803
882;George Lee Antiques;872 Virginia Rd.;15;9;04/03/1989 15:08;54310;29576.9960
883;Lutz Soft Cloth Car Wash;1704 Ridgelee Rd;47;38;13/05/2004 17:55;57924;4505.0395
884;Lee Stairworks and Carpentry,;1875 Roger Williams Ave.;19;34;27/04/2004 22:07;40584;85920.6124
885;Darcy Frame and Matting Servic;1619 Judson Ave. Apt #34B;17;9;15/01/1986 19:07;45848;92335.3175
886;Masterlands Cleaning;3062 Lindenwood Ln.;44;1;02/07/2006 01:27;99926;11635.1140
887;Pac Builders;425 Lake Ave.;36;16;12/09/2006 07:13;74238;20316.6805
888;Crosstracks Car Wash;302-A Crestwood Village Rd.;38;13;15/06/2004 12:47;58140;86207.4424
889;Doll House Rock;788 Tennyson Ave.;44;23;18/11/1974 09:47;5039.;46602.0575
890;Corbins, Rodriguez, & Savocchi;632 Florence Dr.;11;37;29/07/2006 16:07;60564;89016.5816
891;DBN Bank;1920 Sunnyside Ave.;1;15;22/06/1971 09:28;58312;62567.3750
892;Funnyface Amusement Games;201-C Frontage Rd.;6;47;30/01/1986 09:07;43550;80442.6909
893;DBN Bank;1875 Roger Williams Ave.;14;19;16/06/2000 22:33;71225;52291.5690
894;Keyth Contracting and Repair;1660 Park Ave.;49;17;13/02/1985 07:22;32905;53616.0742
895;Myers Chocolates and Confectio;1975 elmwood Circle;14;44;11/01/1993 13:47;38616;92166.4853
896;North West Gas Co.;1486 Old Deerfield Rd.;18;36;09/03/1993 06:53;34830;44478.4552
897;Glenn Oaks Office Supplies;1701 W. Mellody Rd.;39;38;03/07/1978 08:47;86455;3092.0397
898;Hibop Heating and Air Conditio;201-C Frontage Rd.;18;44;07/04/2004 04:27;14110;67432.7533
899;Kapp Camera and Video;242 Ashland Ave.;29;11;05/02/2003 20:55;95384;25472.8460
900;Metro Appliance Service;1450 Harding Ave.;49;1;28/11/1989 12:40;56200;32800.8456
901;Hibop Heating and Air Conditio;225 Jeffrys Place;8;6;15/07/1970 04:20;87938;73260.8160
902;John G. Hartling Ltd.;12 Craven Way;38;14;26/07/1970 09:02;13400;20250.2272
903;Hardee Woodwork Ltd.;1550 Ridge Rd.;14;49;01/03/2002 16:27;8510.;60728.3098
904;AAA Daniels Antiques;14836 W. River Oaks Dr.;37;14;14/03/1970 10:53;56656;9370.5742
905;Dapper's Antiques;2510 Crain;7;18;22/09/1990 19:15;37824;12254.1935
906;Camp Stuff;42 Valley Rd.;8;39;01/09/1990 04:33;30388;46496.2640
907;Pac Builders;2267 Anderson Lane;23;18;14/06/1994 14:20;94848;18350.0421
908;Corbins, Rodriguez, & Savocchi;1660 Park Ave.;41;29;24/04/2001 22:47;49456;25884.3592
909;Elm Place Business Supplies;969 Saxony Drive;2;49;10/11/2004 15:20;47800;88792.4932
910;Parkway Auto Body;1860 Parkside Ln.;16;8;16/09/2002 02:20;82567;4740.6771
911;Esmarda Chemical Manufacturers;77 Blackhawk Rd;22;38;26/07/2003 10:20;34364;81275.1977
912;Lake Shore Publishing;1233 Arbor Rd.;10;14;27/12/2001 21:33;55208;82534.1692
913;Pivot Point College;1233 Arbor Rd.;7;37;31/05/1972 23:40;25204;24775.1668
914;Myers Chocolates and Confectio;12 Fort Sheriden Ave.;32;7;20/05/1980 00:35;67710;2664.1385
915;BBQ Smith's Tex Mex;3181 Barkwood Ct.;48;8;25/02/2000 04:00;558.2;60000.9008
916;Elm Place Business Supplies;2632 Prarie Ln.;46;23;30/09/1987 20:08;11488;51108.7232
917;Air Indonesia;857 Woodbine Rd;25;41;18/07/2000 12:08;67861;87076.9424
918;Woodworks Co.;12 Craven Way;23;2;12/07/2003 03:55;24268;14006.6952
919;Myers Chocolates and Confectio;899 Harvard Ct;24;16;30/06/1986 15:55;58564;18108.3876
920;Michael Montgomery Hair Saloon;726 White Oaks Ave.;38;22;17/02/2001 01:20;38714;48724.4359
921;Funnyface Amusement Games;746 Judson Place;14;10;15/06/1993 17:00;80439;81468.2128
922;Hart Corporation;854 Woodbine;12;7;28/07/2000 03:27;17456;96249.0559
923;Esmarda Chemical Manufacturers;1101 Deerfield Place;27;32;20/06/1996 09:40;60675;44318.4675
924;Dapper's Antiques;367Bluebird Terr.;7;48;14/01/1970 01:08;45364;95364.5320
925;Griffith Paving and Sealcoatin;1126 Hillcrest Ave;10;46;06/05/1985 21:40;2818.;16325.7520
926;Got It All Electronics Supply;1949 Cloverdale Rd.;50;25;13/09/2000 02:48;84625;92000.4733
927;Palmer Golf Supplies;224  Highwood Ave.;47;23;02/06/2004 05:53;98650;18441.8606
928;North Shore Appliance Service;616 Cobblestone Cir.;29;24;09/08/1977 08:33;9690.;2439.0884
929;Cradle the Call;886 Yale Lane;47;38;23/10/1975 13:40;4208.;70460.0111
930;Hart Corporation;1575 Oakwood Ave.;29;14;26/08/2000 08:20;8854.;77159.2067
931;Glenn Oaks Office Supplies;218 Oakridge Ave.;25;12;06/10/1975 12:35;65892;54192.7212
932;Palmer Golf Supplies;1714 Clifton Rd.;47;27;15/05/2007 23:15;90358;61985.4845
933;Marks, Marks, and Kaplan Ltd.;1954 First St.;30;7;29/10/2006 09:08;53880;52320.1000
934;North Park Lighting Galleries;917 Fairview Ave.  Apt. 982;47;10;07/09/1998 21:27;65844;4285.5023
935;Brand Y Creative Services;5518 Madison St.;49;50;29/07/1971 02:47;12770;75949.1000
936;Percy Photography;1101 Deerfield Place;28;47;12/02/1983 01:07;55909;51354.4352
937;Pete's Auto Repair;1715 Chicago Ave.;13;29;22/10/1992 05:15;13000;91520.5952
938;John G. Hartling Ltd.;368 Woodland Rd.;5;47;28/08/2006 13:15;48242;38800.9704
939;Tub's Furniture Store;21 Lakeview Terrace #2312;20;29;11/02/1985 08:53;77767;74330.5520
940;Ampro Office Team Ltd.;872 Virginia Rd.;20;25;06/11/2006 08:00;76237;61780.0896
941;Griffith Paving and Sealcoatin;2148 Eastview Dr.;35;47;23/05/1980 04:20;40122;78600.6428
942;Shaggy's Grooming Services;77 Blackhawk Rd;49;30;01/12/2005 04:02;79787;9017.5588
943;Nitelites Party Rental;511 Hill;13;47;29/03/1970 12:00;2230.;40311.6590
944;Mac Computer Warehouse;1912 Old Briar Lane #2;24;49;02/12/2005 00:13;5568.;67408.4168
945;Crossroads Construction, Inc.;2644 Princeton Ln.;18;28;05/08/1980 22:47;11250;21080.8268
946;Masterlands Cleaning;115 Judson Rd.;15;13;09/11/2000 22:42;63109;10488.5830
947;Myers Chocolates and Confectio;812 North Ave.;25;5;16/04/2006 18:35;7346.;88910.5974
948;Kermit the Pet Shop;872 Virginia Rd.;43;20;20/11/1996 03:20;73640;93596.8343
949;AAA Daniels Antiques;302-A Crestwood Village Rd.;20;20;30/01/1972 06:13;240.4;54978.9296
950;Futoons Cartoons Emporium;10 Marquette Rd.;17;35;15/03/1971 23:22;37374;49147.9862
951;Hibop Heating and Air Conditio;210 Cresant Rd.;45;49;11/04/2005 07:13;36781;384.4294
952;MedicServe Medical Supply;1234 Devonshire Court;29;13;31/05/2005 20:22;14322;70210.0320
953;Camp Oconomowoc;812 North Ave.;17;24;06/04/1992 23:40;85436;14384.8858
954;Kosmo Consulting;225 Jeffrys Place;39;18;29/01/1978 22:13;79068;29793.9136
955;Nirabi Auto Service;581 Hill St. Apt. 234;33;15;14/09/1987 07:40;77316;68396.5597
956;Salt & Pepper Catering Service;334 Lynn Terrace;30;25;12/07/1978 15:00;1517.;14438.8235
957;Air France;865 Old Tall Tree Lane;17;43;06/03/2007 07:48;44673;38660.1988
958;Lambert & Locke Legal Services;10 Marquette Rd.;25;20;20/03/2000 06:40;25790;78606.5346
959;Esmarda Chemical Manufacturers;1859 Green Bay Rd.;35;17;28/07/1980 03:40;53134;40244.6127
960;Glenwood Credit Union;406 Trinity Ct.;50;45;07/02/1993 15:47;83474;90724.7000
961;janice Mann Accounting Service;872 Virginia Rd.;6;29;01/03/1989 12:53;59250;92728.9687
962;Camp Oconomowoc;115 Pleasent Ave.;3;17;03/02/2005 14:53;32208;87874.6857
963;Doll House Rock;120 high St.;10;39;04/08/2004 21:40;89240;58418.6184
964;Hibop Heating and Air Conditio;929 Brittany Ave.;28;33;22/07/1980 08:47;42491;82788.2353
965;Mail Boxes Et. Al.;115 Pleasent Ave.;42;30;10/08/2002 18:20;83585;88600.5715
966;Smith Communications Inc.;872 Virginia Rd.;29;17;24/07/1975 19:53;20896;93288.1747
967;Rythmics Ltd.;1155 Ridgewood Drive;2;25;20/04/1986 16:53;84432;1457.9057
968;Hi-Land Art & Frame;12 Craven Way;37;35;29/09/1998 21:13;94600;67608.9480
969;American Deli Workers Union;807 Old Trail Rd.;36;50;24/05/1993 17:13;9656.;58752.8368
970;Shaggy's Grooming Services;201-C Frontage Rd.;40;6;17/02/1996 23:33;66174;19242.6850
971;Glenn Oaks Office Supplies;1954 First St.;20;3;11/11/2003 19:22;95743;98164.2463
972;Schnitzer Denist College;218 Oakridge Ave.;5;10;05/11/2000 19:07;95940;98785.0370
973;Doll House Rock;1547 Knolwood Rd.;28;28;29/05/1987 16:20;5027.;52865.3146
